Treatment,Repeat,Primer set,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,R2,Efficiency,Slope,Notes/Comments,,
PA14 and MC,1,PA14 16s,18.855,18.845,0.121,9.20E+04,9.28E+04,7.33E+03,0.999,91.216,-3.552,Standard run,,
PA14 and MC,1,PA14 16s,18.961,18.845,0.121,8.59E+04,9.28E+04,7.33E+03,0.999,91.216,-3.552,Standard run,,
PA14 and MC,1,PA14 16s,18.719,18.845,0.121,1.00E+05,9.28E+04,7.33E+03,0.999,91.216,-3.552,Standard run,,
PA14 and MC,2,PA14 16s,19.115,19.153,0.082,7.77E+04,7.60E+04,3.96E+03,0.999,91.216,-3.552,Standard run,,
PA14 and MC,2,PA14 16s,19.246,19.153,0.082,7.14E+04,7.60E+04,3.96E+03,0.999,91.216,-3.552,Standard run,,
PA14 and MC,2,PA14 16s,19.096,19.153,0.082,7.87E+04,7.60E+04,3.96E+03,0.999,91.216,-3.552,Standard run,,
PA14 and MC,3,PA14 16s,19.610,19.577,0.029,5.64E+04,5.76E+04,1.09E+03,0.999,91.216,-3.552,Standard run,,
PA14 and MC,3,PA14 16s,19.554,19.577,0.029,5.85E+04,5.76E+04,1.09E+03,0.999,91.216,-3.552,Standard run,,
PA14 and MC,3,PA14 16s,19.568,19.577,0.029,5.80E+04,5.76E+04,1.09E+03,0.999,91.216,-3.552,Standard run,,
PA14 and MC,4,PA14 16s,19.288,19.379,0.085,6.95E+04,6.56E+04,3.64E+03,0.999,91.216,-3.552,Standard run,,
PA14 and MC,4,PA14 16s,19.390,19.379,0.085,6.51E+04,6.56E+04,3.64E+03,0.999,91.216,-3.552,Standard run,,
PA14 and MC,4,PA14 16s,19.458,19.379,0.085,6.23E+04,6.56E+04,3.64E+03,0.999,91.216,-3.552,Standard run,,
PA14 and MC,5,PA14 16s,19.539,19.458,0.077,5.91E+04,6.23E+04,3.11E+03,0.999,91.216,-3.552,Standard run,,
PA14 and MC,5,PA14 16s,19.449,19.458,0.077,6.26E+04,6.23E+04,3.11E+03,0.999,91.216,-3.552,Standard run,,
PA14 and MC,5,PA14 16s,19.385,19.458,0.077,6.53E+04,6.23E+04,3.11E+03,0.999,91.216,-3.552,Standard run,,
PA14 and MC,6,PA14 16s,18.382,18.402,0.063,1.25E+05,1.24E+05,5.01E+03,0.999,91.216,-3.552,Standard run,,
PA14 and MC,6,PA14 16s,18.472,18.402,0.063,1.18E+05,1.24E+05,5.01E+03,0.999,91.216,-3.552,Standard run,,
PA14 and MC,6,PA14 16s,18.351,18.402,0.063,1.28E+05,1.24E+05,5.01E+03,0.999,91.216,-3.552,Standard run,,
PA14 and MC,1,SA 0836,18.335,19.117,1.106,1.83E+05,1.25E+05,8.26E+04,0.998,91.338,-3.549,Standard run,,
PA14 and MC,1,SA 0836,19.900,19.117,1.106,6.64E+04,1.25E+05,8.26E+04,0.998,91.338,-3.549,Standard run,,
PA14 and MC,1,SA 0836,33.180,35.123,1.961,NA,NA,NA,0.998,91.338,-3.549,No sample,,
PA14 and MC,2,SA 0836,18.134,18.054,0.074,2.09E+05,2.20E+05,1.04E+04,0.998,91.338,-3.549,Standard run,,
PA14 and MC,2,SA 0836,18.039,18.054,0.074,2.22E+05,2.20E+05,1.04E+04,0.998,91.338,-3.549,Standard run,,
PA14 and MC,2,SA 0836,17.990,18.054,0.074,2.29E+05,2.20E+05,1.04E+04,0.998,91.338,-3.549,Standard run,,
PA14 and MC,3,SA 0836,16.483,16.495,0.068,6.09E+05,6.05E+05,2.65E+04,0.998,91.338,-3.549,Standard run,,
PA14 and MC,3,SA 0836,16.434,16.495,0.068,6.29E+05,6.05E+05,2.65E+04,0.998,91.338,-3.549,Standard run,,
PA14 and MC,3,SA 0836,16.568,16.495,0.068,5.77E+05,6.05E+05,2.65E+04,0.998,91.338,-3.549,Standard run,,
PA14 and MC,4,SA 0836,16.668,16.723,0.131,5.41E+05,5.23E+05,4.35E+04,0.998,91.338,-3.549,Standard run,,
PA14 and MC,4,SA 0836,16.629,16.723,0.131,5.54E+05,5.23E+05,4.35E+04,0.998,91.338,-3.549,Standard run,,
PA14 and MC,4,SA 0836,16.873,16.723,0.131,4.73E+05,5.23E+05,4.35E+04,0.998,91.338,-3.549,Standard run,,
PA14 and MC,5,SA 0836,18.433,18.400,0.054,1.72E+05,1.76E+05,6.23E+03,0.998,91.338,-3.549,Standard run,,
PA14 and MC,5,SA 0836,18.429,18.400,0.054,1.72E+05,1.76E+05,6.23E+03,0.998,91.338,-3.549,Standard run,,
PA14 and MC,5,SA 0836,18.337,18.400,0.054,1.83E+05,1.76E+05,6.23E+03,0.998,91.338,-3.549,Standard run,,
PA14 and MC,6,SA 0836,17.909,17.859,0.119,2.42E+05,2.50E+05,1.97E+04,0.998,91.338,-3.549,Standard run,,
